,Priority,RaisedByID,AssignedToID,AuthorisedByID,StatusCode,ProjectCode,Category,SubCategory,HoursEstimate,HoursActual
0,0.0,0.8636363636363636,0.890625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.01537379531643205,0.000698753087163424
1,0.0,0.8636363636363636,0.640625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.007681403092341674,0.002807059815673755
2,0.1111111111111111,0.09090909090909091,0.890625,0.0,0.7142857142857142,0.5789473684210527,1.0,0.3913043478260869,0.0007582500906603368,0.0002770917414613578
3,0.4444444444444445,0.7424242424242424,0.640625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.043478260869565216,0.0007582500906603368,0.0002770917414613578
4,1.0,0.6818181818181819,0.1875,0.0,0.7142857142857142,0.5789473684210527,0.0,0.043478260869565216,0.003835206980296487,0.0014015219966668677
5,0.0,0.18181818181818182,0.1875,1.0,0.7142857142857142,1.0,0.0,0.30434782608695654,0.007681403092341674,0.002807059815673755
6,0.4444444444444445,0.18181818181818182,0.1875,0.0,0.7142857142857142,0.5789473684210527,0.0,0.043478260869565216,0.007681403092341674,0.002807059815673755
7,0.4444444444444445,0.18181818181818182,0.890625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.007681403092341674,0.002807059815673755
8,0.5555555555555556,0.18181818181818182,0.1875,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.0015274893130693742,0.0005581993052627352
9,0.4444444444444445,0.0,0.390625,1.0,0.7142857142857142,1.0,0.0,0.30434782608695654,0.0019121089242738931,0.000698753087163424
10,0.1111111111111111,0.045454545454545456,0.890625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.01537379531643205,0.000698753087163424
11,0.0,0.8636363636363636,0.1875,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.01537379531643205,0.00561813545368753
12,0.2222222222222222,0.8636363636363636,0.640625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.01537379531643205,0.007023673272694417
13,0.0,0.7424242424242424,0.890625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.043478260869565216,0.01537379531643205,0.002807059815673755
14,0.0,0.7424242424242424,0.765625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.043478260869565216,0.007681403092341674,0.002807059815673755
15,0.7777777777777777,0.3787878787878788,0.390625,1.0,0.7142857142857142,0.10526315789473684,0.0,0.043478260869565216,0.0019121089242738931,0.00013653795956066904
16,0.1111111111111111,0.3787878787878788,0.390625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.07691293310915505,0.028106740557797726
17,0.2222222222222222,0.18181818181818182,0.1875,0.0,0.7142857142857142,0.5789473684210527,0.0,0.043478260869565216,0.007681403092341674,0.0014015219966668677
18,0.2222222222222222,0.8636363636363636,0.390625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.0019121089242738931,0.0002770917414613578
19,0.0,0.09090909090909091,0.390625,0.0,0.7142857142857142,0.5789473684210527,1.0,0.3913043478260869,0.0019121089242738931,0.0005581993052627352
20,0.4444444444444445,0.0,0.890625,0.0,0.7142857142857142,0.42105263157894735,0.0,0.043478260869565216,0.007681403092341674,0.002807059815673755
21,0.1111111111111111,0.045454545454545456,0.1875,0.0,0.7142857142857142,0.5789473684210527,0.0,0.043478260869565216,0.007681403092341674,0.002807059815673755
22,0.1111111111111111,0.18181818181818182,0.390625,1.0,0.7142857142857142,1.0,0.0,0.043478260869565216,0.0019121089242738931,0.000698753087163424
23,0.1111111111111111,0.3787878787878788,0.390625,1.0,0.7142857142857142,1.0,0.0,0.043478260869565216,0.003835206980296487,0.0002770917414613578
24,0.2222222222222222,0.3787878787878788,0.390625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.043478260869565216,0.0019121089242738931,0.000698753087163424
25,0.3333333333333333,0.0,0.984375,0.0,0.14285714285714285,0.5789473684210527,0.0,0.30434782608695654,0.01537379531643205,0.002807059815673755
26,0.1111111111111111,0.07575757575757576,0.390625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.011527599204386863,0.004915366544184086
27,0.0,0.3787878787878788,0.390625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.0007582500906603368,0.0002770917414613578
28,0.0,0.8636363636363636,0.765625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.030758579764612798,0.0421621187478666
29,0.4444444444444445,0.5454545454545455,0.640625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.043478260869565216,0.01537379531643205,0.00561813545368753
30,0.2222222222222222,0.6212121212121212,0.640625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.0007582500906603368,0.0002770917414613578
31,0.0,0.07575757575757576,0.390625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.01537379531643205,0.011240286729715079
32,0.1111111111111111,0.8636363636363636,0.390625,0.0,0.7142857142857142,0.5789473684210527,0.0,0.30434782608695654,0.003835206980296487,0.000698753087163424
33,0.4444444444444445,0.0,0.890625,0.0,0.14285714285714285,0.5789473684210527,0.0,0.30434782608695654,0.007681403092341674,0.002807059815673755
34,0.4444444444444445,0.3787878787878788,0.390625,1.0,0.7142857142857142,1.0,0.0,0.30434782608695654,0.0019121089242738931,0.0014015219966668677
35,0.2222222222222222,0.8636363636363636,0.640625,1.0,0.7142857142857142,0.10526315789473684,0.0,0.30434782608695654,0.002296728535478412,0.0008393068690641127
